year,month,revenue,order_freq,year_month
2016,9,267.36,6,2016-9
2016,10,49507.66,363,2016-10
2016,12,10.9,1,2016-12
2017,1,120312.87,955,2017-1
2017,2,247303.02,1951,2017-2
2017,3,374344.3,3000,2017-3
2017,4,359927.23,2684,2017-4
2017,5,506071.14,4136,2017-5
2017,6,433038.6,3583,2017-6
2017,7,498031.48,4519,2017-7
2017,8,573971.68,4910,2017-8
2017,9,624401.6900000001,4831,2017-9
2017,10,664219.43,5322,2017-10
2017,11,1010271.37,8665,2017-11
2017,12,743914.17,6308,2017-12
2018,1,950030.36,8208,2018-1
2018,2,844178.71,7672,2018-2
2018,3,983213.4400000001,8217,2018-3
2018,4,996647.75,7975,2018-4
2018,5,996517.68,7925,2018-5
2018,6,865124.31,7078,2018-6
2018,7,895507.22,7092,2018-7
2018,8,854686.33,7248,2018-8
2018,9,145.0,1,2018-9
